```csv
factid,category,content,priorityweight,source,page,provenance
23,clinical,Maximum daily dose for salmeterol LABAs is 100 mcg.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
24,clinical,Maximum daily dose for other LABAs should be determined by clinicians.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
25,clinical,LABAs should not be used for acute asthma symptoms.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
26,clinical,Clinicians must monitor symptoms and adjust asthma treatment accordingly.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
27,clinical,NHLBI provides guidelines and resources for asthma management.,Low,Initial Repairs,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Initial Repairs"
28,clinical,NHLBI resources include educational materials for patients and providers.,Low,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
29,clinical,Asthma sufferers can find resources and support through NHLBI.,Low,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
30,clinical,The CDC offers information on asthma management and control.,Low,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
31,clinical,American Lung Association provides advocacy and educational resources for asthma patients.,Low,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
32,clinical,Local asthma coalitions offer community-specific resources and support.,Low,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
33,clinical,Professional medical associations provide guidelines for asthma treatment.,Low,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
34,clinical,Healthcare providers should stay updated on asthma management guidelines.,Low,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
```
